iter,f,g[0],g[1],f_x_ag,phi,alpha,Norm(g)
94,[-9.92857143],[2.47907605e-05],[-6.26475819e-06],[-9.92857143],[[-9.92857143]],1,2.557008019776126e-05
95,[-9.92857143],[1.39951038e-05],[-1.70268808e-05],[-9.92857143],[[-9.92857143]],1,2.2040363016961725e-05
96,[-9.92857143],[1.80183246e-05],[-6.23960767e-06],[-9.92857143],[[-9.92857143]],1,1.9068107501387784e-05
97,[-9.92857143],[4.85483036e-06],[-1.76680753e-05],[-9.92857143],[[-9.92857143]],1,1.8322943643119318e-05
98,[-9.92857143],[9.96322412e-06],[-8.44608964e-06],[-9.92857143],[[-9.92857143]],1,1.3061480202880058e-05
99,[-9.92857143],[1.01783284e-05],[-2.27570173e-06],[-9.92857143],[[-9.92857143]],1,1.0429630285510359e-05
100,[-9.92857143],[5.52364946e-06],[-7.06482088e-06],[-9.92857143],[[-9.92857143]],1,8.967853558513468e-06
101,[-9.92857143],[7.36998421e-06],[-2.37653187e-06],[-9.92857143],[[-9.92857143]],1,7.743679420635158e-06
102,[-9.92857143],[1.72230175e-06],[-7.49017851e-06],[-9.92857143],[[-9.92857143]],1,7.685642289825231e-06
103,[-9.92857143],[3.9928994e-06],[-3.4546801e-06],[-9.92857143],[[-9.92857143]],1,5.279967819716076e-06
104,[-9.92857143],[4.1837953e-06],[-8.0732895e-07],[-9.92857143],[[-9.92857143]],1,4.260976779191264e-06
105,[-9.92857143],[2.17441995e-06],[-2.93601424e-06],[-9.92857143],[[-9.92857143]],1,3.6535300333191453e-06
106,[-9.92857143],[3.01741816e-06],[-8.96811402e-07],[-9.92857143],[[-9.92857143]],1,3.1478696011256985e-06
107,[-9.92857143],[1.80414036e-06],[-2.03886077e-06],[-9.92857143],[[-9.92857143]],1,2.7224760169943362e-06
108,[-9.92857143],[2.60725606e-06],[3.52080612e-07],[-9.92857143],[[-9.92857143]],1,2.630920930479214e-06
109,[-9.92857143],[1.66045831e-06],[-8.45690794e-07],[-9.92857143],[[-9.92857143]],1,1.8634148030487396e-06
110,[-9.92857143],[8.53421614e-07],[-1.22215128e-06],[-9.92857143],[[-9.92857143]],1,1.4906314776806046e-06
111,[-9.92857143],[1.23664656e-06],[-3.34528391e-07],[-9.92857143],[[-9.92857143]],1,1.2810948309297698e-06
112,[-9.92857143],[7.14638754e-07],[-8.43852822e-07],[-9.92857143],[[-9.92857143]],1,1.105801127551188e-06
113,[-9.92857143],[1.08711955e-06],[1.93821101e-07],[-9.92857143],[[-9.92857143]],1,1.1042624359605097e-06
114,[-9.92857143],[6.74711774e-07],[-3.34986916e-07],[-9.92857143],[[-9.92857143]],1,7.532942404936355e-07
